,fips,state_fips,lat,lon,population,income,livestock_plant,livestock_plant_0_50km,livestock_plant_50_100km,livestock_plant_100_150km,cattle_plant,hog_plant,chicken_plant,livestock_plant_binary,cattle_plant_binary,hog_plant_binary,chicken_plant_binary,livestock_plant_small,livestock_plant_medium,livestock_plant_large,line_speed_waiver,line_speed_waiver_2020,company,case_rate,case_rate_log,case_rate_ihs,cases,death_rate,death_rate_log,death_rate_ihs,deaths,log_income_pc,density,density_sq,timing_case,old,black,hisp,freight,public_transit,household_size,nursing_census,prison,uninsured,essential_workers,share_manufacturing,manufacturing_establishments,work_google,retail_google,covid_testing,covid_testing_rate,covid_positivity,livestock_sales_1959
1,36119,36,41.1527698,-73.745912,967612,1.05446E+11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,36.77713794,3.604876401,4.298208365,35586,1.624618132,0.485272793,1.261959157,1572,11.59888224,3.607212523,13.01198219,0.236263736,0.11946524,0.174497629,0.251403455,5.522725,22.6,2.713925005,0.006865355,0.004287876,0.068,0.044734563,0.025200773,531,-45.41931217,-48.67989418,334.7633142,334.7633142,0.10986012,1.404641
2,36103,36,40.943554,-72.6922184,1481093,1.01628E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No plant,28.74566283,3.358486898,4.05193649,42575,1.378711533,0.321149391,1.125545769,2042,11.13629665,1.817917769,3.304825014,0.258241758,0.116642237,0.093478262,0.197752606,3.357662,6.4,2.988161424,0.006009751,0.001123495,0.054,0.052557256,0.047003459,1816,-46.00595238,-51.23941799,263.4176247,263.4176247,0.109125814,11.232509
3,25013,25,42.1361975,-72.6356476,470406,24078593000,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Smithfield,15.20388771,2.721551165,3.415778106,7152,1.449811439,0.371433506,1.166597274,682,10.84323759,1.970869244,3.884325578,0.296703297,0.114265124,0.119220418,0.261461376,1.049428,1.9,2.538094201,0.008267327,0.003282271,0.03,0.041321789,0.061637862,530,-35.22619048,-44.61507937,151.5286795,151.5286795,0.1003367,4.284392
4,25015,25,42.3394593,-72.6636936,161355,8549247000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,6.55077314,1.879583079,2.57850579,1057,0.77468935,-0.255293169,0.71278174,125,10.87774686,2.078392668,4.31971608,0.318681319,0.112745189,0.040730067,0.05777943,0.143434,3.1,2.35714651,0.005670726,0.001549379,0.024,0.030222184,0.027613543,136,-35.80026455,-41.1039886,123.0826439,123.0826439,0.053222558,5.242827
5,25011,25,42.5845038,-72.5917921,70963,3880915000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.509913617,1.706548946,2.407830982,391,0.81732734,-0.201715604,0.746141526,58,10.90942289,1.112377442,1.237383574,0.313186813,0.139016107,0.02208193,0.041655511,0.170298,1.9,2.284357689,0.006101771,0.002480166,0.022,0.026259639,0.065608497,106,-29.43325273,-33.88372284,130.7019151,130.7019151,0.042156334,6.298999
6,25003,25,42.371493,-73.2179276,126348,7139095000,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.94665527,1.598711645,2.301922555,625,0.356159179,-1.032377515,0.349029344,45,10.94205657,1.518737929,2.306564896,0.252747253,0.160034191,0.04389464,0.050669579,0.0869,1.2,2.182935451,0.011871973,0.002785956,0.03,0.01236855,0.055119451,144,-33.9047619,-42.93783069,134.1374616,134.1374616,0.036877508,7.374803
7,25027,25,42.3116934,-71.940282,830839,47360665000,2,0,0,0,1,1,0,1,1,1,0,0,2,0,0,0,Other,15.51925223,2.742081332,3.436264903,12894,1.167494545,0.154860038,0.99499616,970,10.95086656,1.769161461,3.129932273,0.258241758,0.104646026,0.065867154,0.119142216,4.095717,1.8,2.578459065,0.006606575,0.005903671,0.025,0.03711096,0.073547468,896,-36.9973545,-42.10449735,171.2594137,171.2594137,0.090618389,19.66409
8,25017,25,42.4817182,-71.3949161,1614714,1.35305E+11,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,15.48943033,2.740157877,3.434345436,25011,1.206405593,0.187645354,1.020067444,1948,11.33612949,2.176612785,4.737643215,0.241758242,0.103828913,0.063982848,0.08259729,3.442412,12.4,2.560675097,0.005030612,0.002742901,0.026,0.038356874,0.077972034,1559,-41.92269231,-46.73909091,181.3640063,181.3640063,0.085405206,9.771816
9,25025,25,42.3385513,-71.018253,807252,65510103000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,25.58061175,3.241834711,3.935363721,20650,1.287082596,0.252378104,1.070550524,1039,11.30407905,6.290552147,39.57104632,0.06043956,0.08013235,0.261303781,0.233810508,1.708809,32.5,2.412563744,0.005051706,0.003248056,0.04,0.048172917,0,333,-46.00595238,-51.23941799,212.6547844,212.6547844,0.120291729,0
10,25009,25,42.6427082,-70.8649085,790638,53373826000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,21.22842565,3.055341116,3.749042595,16784,1.449462333,0.371192683,1.166399041,1146,11.11999082,1.993920936,3.975720697,0.269230769,0.115079215,0.079779874,0.218715771,1.68938,5.9,2.607184471,0.006210175,0.001809931,0.031,0.034732171,0.089030192,831,-36.69177427,-45.61716524,192.2245073,192.2245073,0.110435584,5.745941
11,25023,25,41.9871959,-70.7419417,518132,34976503000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,17.18288004,2.843913542,3.537906385,8903,1.349077069,0.299420706,1.108022967,699,11.11995702,1.584327604,2.510093955,0.296703297,0.121986289,0.120035049,0.040719353,0.675729,5.7,2.68770732,0.006683625,0.006901716,0.023,0.053123142,0.026877358,445,-30.84325397,-35.9017094,171.8133603,171.8133603,0.100008987,6.106322
12,25021,25,42.1717393,-71.1811115,705388,65096775000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,13.86329226,2.629244502,3.323689942,9779,1.375129716,0.318548065,1.123440969,970,11.43263756,1.886162935,3.557610618,0.225274725,0.115795846,0.082307893,0.047698572,1.729608,14.4,2.579307231,0.007047185,0.005120586,0.02,0.0529782,0.038872771,555,-47.5978836,-48.27910053,157.8974975,157.8974975,0.087799316,4.820566
13,25005,25,41.748588,-71.088894,564022,30507146000,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,15.50471436,2.74114413,3.435329642,8745,1.086837038,0.083271678,0.941463484,613,10.89837825,1.684504963,2.837556969,0.291208791,0.115663928,0.06508966,0.084314087,1.290076,2.7,2.507829451,0.007790476,0.002336788,0.029,0.047110844,0,605,-37.33664021,-42.41025641,165.9545195,165.9545195,0.093427491,9.60996
14,25001,25,41.7990145,-70.2118803,213413,15953917000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,7.679944521,2.038612323,2.73597142,1639,0.721605525,-0.326276653,0.67027667,154,11.22198568,0.731729401,0.535427917,0.291208791,0.21377798,0.039519617,0.032022417,0.375011,1.3,2.236764519,0.007384742,0.002052359,0.032,0.054216472,0,186,-35.78571429,-43.77777778,156.682114,156.682114,0.049016089,0.778224
15,25007,25,41.3809696,-70.7014995,17352,1626327000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,3.688335639,1.30517531,2.01621284,64,0,NA,0,0,11.44812688,0.884160323,0.781739476,0.351648352,0.157272937,0.056189488,0.03769018,0.01544,2.5,2.678498508,0.003284924,0.001728907,0.05,0.22059897,0,20,-42.42028986,-56.16783217,303.3656063,303.3656063,0.012158055,0.297413
16,44005,44,41.5025036,-71.2836888,82542,5668939000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.421991229,1.486590099,2.192283935,365,0.072690267,-2.621547785,0.072626404,6,11.13720528,1.162513778,1.351438285,0.351648352,0.154236631,0.055159797,0.059581789,0.184245,1.5,2.249907715,0.006069637,0,0.041,0.023802216,0,66,-39.45634921,-47.92592593,NA,NA,NA,2.141205
17,44007,44,41.8697678,-71.5786246,636084,30619055000,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,21.49716075,3.067920868,3.761608586,13674,1.251407047,0.224268556,1.048471686,796,10.78180246,2.307240266,5.323357646,0.351648352,0.104720446,0.136835701,0.234244219,2.547616,3.3,2.554899631,0.008335377,0.005947328,0.064,0.036280799,0.048483893,827,-36.37169312,-46.67460317,NA,NA,NA,5.019192
18,44009,44,41.396792,-71.6202819,126179,8095343000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.469840465,1.497352718,2.202784207,564,0.49929069,-0.694566807,0.480577309,63,11.06909798,0.997798097,0.995601042,0.351648352,0.13875526,0.020423367,0.032921485,0.491333,1,2.435401438,0.005801282,0,0.032,0.012138853,0.095817558,150,-29.66284539,-36.29781852,NA,NA,NA,2.40169
19,44001,44,41.7068313,-71.2866369,48649,3833782000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.817180209,1.760815644,2.461270071,283,0.308331106,-1.176581052,0.303643588,15,11.27473109,1.523415341,2.320794301,0.351648352,0.137906226,0.019671525,0.031943103,0.07615,2.4,2.306449138,0.013463792,0,0.025,0.040384849,0,74,-37.33664021,-42.41025641,NA,NA,NA,0.912597
20,44003,44,41.677331,-71.5787858,163861,9776691000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,8.031197173,2.083333604,2.780334404,1316,0.616376075,-0.483897991,0.58281645,101,10.99649313,1.429752936,2.044193458,0.351648352,0.12797432,0.029354148,0.053197527,0.765233,1.2,2.359740241,0.007506362,0,0.037,0.014418725,0.056153662,176,-35.34450797,-43.12037037,NA,NA,NA,0.977444
21,33011,33,42.9115317,-71.7230554,415247,25390957000,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,No plant,8.565986028,2.147799248,2.84433625,3557,0.642990798,-0.441624866,0.605338086,267,11.02103012,1.562821947,2.442412437,0.296703297,0.105000157,0.035000855,0.070324409,1.366019,0.9,2.529723618,0.005994023,0.001909707,0.064,0.021114429,0.111594494,516,-36.54960317,-41.67989418,NA,NA,NA,8.783052
22,33015,33,42.9886636,-71.0990801,309176,22823053000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,5.035966569,1.616605478,2.319467682,1557,0.297565141,-1.212122117,0.293340096,92,11.20937099,1.240511143,1.538867897,0.252747253,0.117525293,0.01361684,0.031771548,1.000024,0.8,2.518215186,0.003651642,0.000928274,0.048,0.022219688,0.063554556,432,-29.170194,-33.37566138,NA,NA,NA,6.074787
23,33001,33,43.5191091,-71.4253661,61022,3727893000,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,No plant,1.589590639,0.463476524,1.24345344,97,0.065550129,-2.724940094,0.065503277,4,11.0201193,1.454065448,2.114306328,0.313186813,0.147504179,0.010012782,0.016944708,0.120594,0.1,2.413759651,0.01022582,0.001556816,0.082,0.030537556,0.049018038,78,-29.50925926,-38.3015873,NA,NA,NA,2.021626
24,33013,33,43.2995786,-71.6800412,151132,8754211000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.917978985,1.070891248,1.792185,441,0.132334648,-2.022421354,0.13195141,20,10.96689177,1.308287441,1.711616029,0.313186813,0.120616415,0.019413493,0.022510124,0.629493,0.4,2.466970939,0.006735834,0.013630469,0.061,0.037685019,0.055184642,206,-32.4510582,-38.6521164,NA,NA,NA,5.050203
25,33009,33,43.9264391,-71.8424242,89786,5425401000,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,No plant,1.10262179,0.097690789,0.952109386,99,0.011137594,-4.497429061,0.011137364,1,11.00917331,1.092164054,1.192822322,0.225274725,0.139364712,0.015793108,0.025293476,0.239356,1.3,2.390279696,0.006025438,0.001314236,0.079,0.01740518,0.079069178,103,-36.49603175,-46.92592593,NA,NA,NA,5.29137
26,33003,33,43.8677742,-71.2015596,48779,2875460000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.496545645,0.403159549,1.192845557,73,0,NA,0,0,10.98442333,1.115449373,1.244227303,0.302197802,0.184751635,0.008692265,0.016154493,0.032505,0.1,2.243474134,0.006396195,0.001127534,0.098,0.078479372,0,68,-28.3620936,-39.47721281,NA,NA,NA,0.885001
27,33019,33,43.3611883,-72.2220839,43144,2229759000,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.88077137,-0.126957198,0.794505917,38,0.023178194,-3.764543358,0.023176119,1,10.85286071,1.141991548,1.304144695,0.335164835,0.141595587,0.010893751,0.016757834,0.061189,0.4,2.388049605,0.005887261,0.002271463,0.072,0.055044927,0.109374152,82,-28.71897305,-33.89814815,NA,NA,NA,2.756227
28,33005,33,42.9254596,-72.2481828,76493,3975258000,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.045847332,0.044827401,0.913423851,80,0.026146183,-3.644052053,0.026143205,2,10.85840098,1.456897771,2.122551116,0.324175824,0.131619887,0.011831148,0.019439687,0.079542,0.3,2.366403905,0.006013622,0.001882525,0.071,0.031046741,0.088908443,126,-29.3505291,-33.32539683,NA,NA,NA,3.358823
29,33007,33,44.6525477,-71.2894309,31589,1361412000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.44319225,-0.813751629,0.429833648,14,0,NA,0,0,10.671224,0.611716114,0.374196605,0.401098901,0.157333249,0.012124474,0.018392478,0.035086,0.2,2.161953353,0.012694292,0.025040362,0.089,0.049471067,0,40,-28.74404762,-39.50071225,NA,NA,NA,2.679814
30,33017,33,43.2932725,-71.0355891,130090,6579205000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.359904681,0.858621229,1.593905915,307,0.099930817,-2.303277161,0.099765239,13,10.83119796,1.790516681,3.205949985,0.32967033,0.099369667,0.017856868,0.025766777,0.220587,2.1,2.455981709,0.004143285,0.003151664,0.07,0.015102487,0,145,-35.52248677,-37.63888889,NA,NA,NA,2.127584
31,23031,23,43.4260188,-70.6684248,206229,10737941000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.914236116,1.069607733,1.790970889,601,0.058187743,-2.844080552,0.058154957,12,10.86030671,1.472085349,2.167035275,0.307692308,0.136144771,0.013169826,0.017383588,0.220975,0.8,2.362099518,0.004737452,0.001003739,0.073,0.023014288,0.060969417,253,-34.37301587,-37.66797386,NA,NA,NA,6.733596
32,23005,23,43.8083479,-70.3303753,293557,18354163000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,6.686946658,1.900157366,2.598849166,1963,0.231641555,-1.462564123,0.229618471,68,11.04329514,1.544159377,2.384428182,0.285714286,0.123280998,0.035127761,0.021406405,0.881039,1.4,2.360700652,0.005954551,0.003743736,0.063,0.032877177,0.052046558,418,-32.01435453,-41.19888935,NA,NA,NA,8.155537
33,23023,23,43.9168446,-69.8442271,35634,1828920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.010271089,0.0102187,0.888617727,36,0,NA,0,0,10.84593595,1.450024889,2.102572179,0.32967033,0.150277825,0.013835101,0.018325195,0.12981,0.1,2.215372955,0.004967166,5.61E-05,0.07,0.06455299,0,31,-35.94708995,-41.08333333,NA,NA,NA,1.905898
34,23017,23,44.4944998,-70.7344211,57618,2189404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.850428685,-0.162014721,0.771564031,49,0,NA,0,0,10.5453049,0.8498131,0.722182304,0.307692308,0.141605054,0.009024957,0.014387865,0.05601,0.4,2.718795042,0.006907564,0,0.101,0.032341677,0.075167945,55,-30.07804233,-40.05291005,NA,NA,NA,5.274861
35,23001,23,44.1676811,-70.2074347,107679,4471723000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.764160143,1.561121266,2.265105359,513,0.046434309,-3.069716667,0.046417639,5,10.63412977,1.331895865,1.773946596,0.28021978,0.119596207,0.05057625,0.019818163,0.215878,0.1,2.291728034,0.004866316,0.001160858,0.083,0.015984624,0.07444267,151,-30.05952381,-42.37698413,NA,NA,NA,7.269972
36,23007,23,44.9767238,-70.4149354,29897,1152362000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.471719571,0.386431493,1.178972983,44,0.033448172,-3.397758141,0.033441938,1,10.55956617,0.679179197,0.461284381,0.357142857,0.14968057,0.008696525,0.013245476,0.031154,0.1,2.444359821,0.003545506,6.69E-05,0.091,0.062329423,0.077808015,28,-29.43325273,-33.88372284,NA,NA,NA,2.616484
37,23011,23,44.4170119,-69.7657639,122083,5486404000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No plant,1.228672297,0.205934153,1.034200069,150,0.081911486,-2.502116048,0.081820165,10,10.71308245,1.153807469,1.331271675,0.307692308,0.132180566,0.011139962,0.015874446,0.203268,0.1,2.285417718,0.007249167,0.001769288,0.065,0.012546123,0.035487726,88,-30.3042328,-42.82539683,NA,NA,NA,15.891355
38,23015,23,43.9947814,-69.5136244,34342,1748760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.902684759,-0.10238189,0.81086117,31,0,NA,0,0,10.83804843,1.536298133,2.360211955,0.296703297,0.189942345,0.008677421,0.012433755,0.023719,0.2,2.172911788,0.006231437,0.004629899,0.103,0.069153175,0,68,-28.55555199,-34.56816402,NA,NA,NA,3.754203
39,23027,23,44.5058342,-69.1389521,39694,1623947000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.51156346,0.413144519,1.201160402,60,0.352698141,-1.042142713,0.345767145,14,10.61917012,0.946886764,0.896594543,0.346153846,0.145286441,0.00924573,0.014989671,0.035572,0.2,2.269994727,0.002292538,0.000327505,0.114,0.059829151,0.043784064,58,-31.15608466,-44.44444444,NA,NA,NA,13.963584
40,23019,23,45.4092843,-68.666616,151096,6354094000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.900090009,-0.105260511,0.808933837,136,0.033091544,-3.408477484,0.033085508,5,10.64669449,0.899116544,0.80841056,0.313186813,0.123934452,0.012614497,0.013997723,0.229185,0.5,2.356328559,0.007180865,0.00223037,0.095,0.013002876,0.02854994,142,-30.11111111,-47.79100529,NA,NA,NA,10.584393
41,23021,23,45.9156393,-69.1022311,16800,645572000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,0.297619048,-1.211940974,0.293391763,5,0,NA,0,0,10.55651314,0.400207368,0.160165937,0.489010989,0.179464286,0.008928571,0.014821429,0.061306,0,2.249966019,0.006488095,0.001428571,0.099,0.110920403,0.122418568,22,-20.92906178,-51.47685185,NA,NA,NA,1.656269
42,23009,23,44.5649063,-68.3707034,54811,2809562000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.346645746,-1.059451925,0.340053963,19,0.018244513,-4.003890904,0.018243501,1,10.84464825,0.577897302,0.333965291,0.39010989,0.163397858,0.012260313,0.015270657,0.046456,0.8,2.242673565,0.004360439,0.000985204,0.115,0.043328134,0.021560656,84,-31.59955291,-43.21670249,NA,NA,NA,2.635503
43,23029,23,44.9670088,-67.6093542,31490,1271515000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.190536678,-1.657910566,0.189402235,6,0,NA,0,0,10.60604963,0.449506943,0.202056492,0.401098901,0.164845983,0.0101302,0.024198158,0.016933,0.4,2.222439519,0.006668784,0.006192442,0.123,0.049626597,0.053327723,40,-29.66284539,-36.29781852,NA,NA,NA,1.764196
44,23003,23,46.7091929,-68.6124095,67111,2767748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.447020608,-0.805150583,0.433331184,30,0.014900687,-4.206347965,0.014900136,1,10.62719659,0.447099956,0.199898371,0.401098901,0.165099611,0.013589426,0.013216909,0.071449,0.1,2.225636701,0.010460282,0.00086424,0.09,0.023285922,0.071709924,70,-21.40079365,-40.58862434,NA,NA,NA,4.478187
45,23025,23,45.5036458,-69.9561096,50592,1929700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.65227704,-0.4272859,0.61313249,33,0,NA,0,0,10.54908165,0.541950584,0.293710435,0.373626374,0.137788583,0.009349304,0.011167774,0.084873,0.1,2.321088562,0.005079855,0.003221853,0.104,0.036833151,0.094270094,66,-34.45767196,-40.2037037,NA,NA,NA,8.532818
46,23013,23,44.0420446,-69.0385145,39771,2082325000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,0.628598728,-0.464262179,0.593192932,25,0.025143949,-3.683138003,0.0251413,1,10.86585761,0.920970213,0.848186134,0.340659341,0.170274823,0.010434739,0.014935506,0.028103,0.4,2.233854045,0.003922456,0.025772548,0.105,0.059713317,0.054240813,95,-29.88330199,-37.61073472,NA,NA,NA,5.619377
47,50027,50,43.5726846,-72.5988211,55286,3212998000,2,0,2,0,1,1,0,1,1,1,0,0,2,0,0,0,Other,1.211880042,0.192172907,1.02355639,67,0.036175524,-3.319372531,0.036167638,2,10.9701953,0.856274987,0.733206854,0.291208791,0.156332525,0.01228159,0.01689397,0.255251,0.7,2.241958042,0.005679557,0.008446985,0.047,0.03553671,0.037697191,116,-36.83465608,-52.08,NA,NA,NA,7.179511
48,50005,50,44.4687907,-72.1121676,30302,1249828000,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,No plant,0.825028051,-0.192337892,0.752092802,25,0,NA,0,0,10.62730278,0.735395497,0.540806537,0.346153846,0.134842585,0.012375421,0.016599564,0.11034,0,2.393564762,0.005148175,0.007326249,0.052,0.061496362,0.069361544,53,-29.99603175,-50.39814815,NA,NA,NA,7.185199
49,50017,50,44.0033924,-72.3696871,28999,1367889000,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,No plant,0.379323425,-0.969366074,0.370769869,11,0,NA,0,0,10.76151789,0.806039692,0.649699985,0.302197802,0.134487396,0.010103797,0.014483258,0.058868,0.6,2.298713983,0.002103521,0,0.046,0.06775001,0.025852975,49,-37.31150794,-42.20020964,NA,NA,NA,7.953718
50,50025,50,42.9953348,-72.721955,42756,2177358000,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,No plant,2.338853026,0.84966065,1.58566115,100,0.070165591,-2.656897248,0.070108145,3,10.83811324,0.97946671,0.959355035,0.32967033,0.146271868,0.020488353,0.024441014,0.151546,1.2,2.163092374,0.004958368,0,0.049,0.045951037,0.081207592,92,-34.99801587,-47.97484277,NA,NA,NA,4.309715
51,50003,50,43.0353254,-73.1114603,35631,1940402000,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.24523589,0.808810589,1.548221356,80,0.028065449,-3.573216045,0.028061766,1,10.90518968,0.97921727,0.958866462,0.252747253,0.157447167,0.016670876,0.021610395,0.086261,0.4,2.307898439,0.013359154,0,0.042,0.042986959,0.076274401,66,-34.43386243,-52.08333333,NA,NA,NA,2.87933
52,50021,50,43.5808577,-73.0382023,58672,3071041000,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,No plant,1.363512408,0.310064023,1.11658949,80,0.017043905,-4.071962611,0.01704308,1,10.86556454,0.997186271,0.994380459,0.324175824,0.146492364,0.010584265,0.015680393,0.116231,0.8,2.267687413,0.006510772,0.002471366,0.049,0.02610561,0.074680866,97,-37.20502646,-49.03571429,NA,NA,NA,7.856483
53,50007,50,44.4633289,-73.0694099,164572,10024778000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,No plant,4.229151982,1.442001496,2.148842023,696,0.236978344,-1.439786518,0.234814525,39,11.01722222,1.675218308,2.80635638,0.274725275,0.100168923,0.030691734,0.024287242,0.435477,2.6,2.326850153,0.00542012,0.001008677,0.033,0.009495792,0.085185228,232,-44.6984127,-49.08465608,NA,NA,NA,10.752767
54,50013,50,44.8017867,-73.300759,7090,419759000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.833568406,0.606264017,1.366627767,13,0,NA,0,0,10.98875068,0.773847312,0.598839663,0.423076923,0.123695346,0.01438646,0.020874471,0.007601,0.3,2.347489046,0,0,0.031,0.220414884,0.006715758,6,-34.90526316,NA,NA,NA,NA,1.609382
55,50011,50,44.8589643,-72.9094023,49421,2284259000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,2.246008782,0.809154766,1.548535768,111,0.12140588,-2.108615966,0.1211096,6,10.74117681,0.844354421,0.712934388,0.32967033,0.103619919,0.010966998,0.016632606,0.08857,0.6,2.615434291,0.004633658,0.00309585,0.034,0.031621002,0.08848909,56,-29.43325273,-33.88372284,NA,NA,NA,14.188241
56,50001,50,44.0312479,-73.1415807,36973,1915387000,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,No plant,1.920320234,0.652491961,1.407423001,71,0.054093528,-2.917040736,0.054067182,2,10.85524233,0.946577078,0.896008165,0.324175824,0.129094204,0.018013145,0.022908609,0.037356,0.6,2.305436775,0.003894734,0.000513889,0.043,0.041426672,0.081381987,62,-36.51587302,-44.19907407,NA,NA,NA,12.705939
57,50015,50,44.6037037,-72.6389224,25300,1365017000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,1.660079051,0.506865223,1.28040143,42,0.039525692,-3.230804396,0.039515407,1,10.89587305,1.12829374,1.273046764,0.351648352,0.113280632,0.014703557,0.01826087,0.020945,0.7,2.319694541,0.00284585,0,0.058,0.073654655,0.029139564,44,-45.11375661,-63.30092593,NA,NA,NA,4.236547
58,50019,50,44.8284417,-72.25163,26907,1171578000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.5203107,-0.653329146,0.499304085,14,0,NA,0,0,10.68147564,0.706696535,0.499419993,0.346153846,0.151410414,0.012413127,0.016203962,0.059581,0.1,2.231526672,0.009885903,0.015349166,0.042,0.069255687,0.068400055,33,-30.50925926,-38.63194444,NA,NA,NA,11.618287
59,50023,50,44.2749884,-72.6095138,58140,3503225000,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.773993808,-0.256191405,0.712231798,45,0.017199862,-4.062853895,0.017199014,1,11.00634064,1.27123912,1.6160489,0.291208791,0.128620571,0.013845889,0.019745442,0.177457,1.2,2.262055098,0.006604747,0.000120399,0.031,0.032051303,0.04282454,131,-29.66284539,-36.29781852,NA,NA,NA,5.230786
60,50009,50,44.7240209,-71.7327362,6250,225053000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No plant,0.8,-0.223143551,0.732668256,5,0,NA,0,0,10.49150975,0.679978502,0.462370763,0.428571429,0.17744,0.01008,0.01312,0.003935,0.3,2.241654572,0,0,0.046,0.298154043,0.032259068,8,-36.69177427,-45.61716524,NA,NA,NA,1.167419
61,9003,9,41.8060534,-72.7329157,892697,57894083000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No plant,13.55555132,2.606796155,3.30130109,12101,1.575002492,0.454256855,1.235659802,1406,11.07987853,1.775276424,3.151606382,0.291208791,0.11914345,0.165318131,0.184532938,4.146426,3.2,2.489672381,0.008775654,0.007664415,0.044,0.039919659,0.104464475,1152,-38.51455026,-44.71560847,136.022637,136.022637,0.099656584,11.95582
62,9005,9,41.7918833,-73.2354042,181111,11763030000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No plant,8.420250565,2.130639586,2.827294324,1525,0.767485133,-0.26463617,0.707076627,139,11.08136202,1.9129725,3.659463785,0.28021978,0.144182297,0.026845415,0.067251575,0.133925,1.3,2.432292159,0.007978533,0.000154601,0.042,0.013112723,0,330,-34.77248677,-35.89285714,127.9270723,127.9270723,0.065820709,13.899011
